	skey	rstrt_nm	keywords
99	262	섬마을	칼국수 맛집 추천 식당 아기 국수 내일 독박 바지락 배달 보기 삼일 생전 식사 어디 육아 의자 자은동 장천동 점심
100	263	이코이	식사 진해 추천 가족 검색 꼽습 끼리 네이버 다정 맛보기 바로 방이 보고 부모님 샤브샤브 샤브집중 시부모 식당 약속 이번
101	264	갈비도사	추천 진해 돼지갈비 맛집 갈비 간만 점심 가족 나들이 산책 시내 어디가 오늘 외식 저녁 가성 가을 거기 고깃집 고민
102	267	꽃마름샤브진해석동점	진해 바람 추천 곳도 맛집 샤브샤브 오늘 점심 국물 대해 댁맘 도움 마름 무슨 부페 샐러드 신분 완전 저녁 특선
103	270	담배집	식당 진해 추천 한정식 모시 가족 고기 담배 분위기 어른 집안 창원 가정 거주 고갈 고급 다림 동생 맛집 먹기
104	273	동방횟집	창원 맛집 진해 마산 추천 모임 생각 횟집 곱창 돈까스 리스트 상남 짬뽕 갈비 국밥 모두 불고기 아구찜 전어 추가
105	274	동심	냉면 맛집 창원 추천 진해 육수 동심 냉면집 도로 부산 직진 진해구 혹시 가다가 가면 갑자기 검색 곳도 근처 길이
106	275	마당있는집(자은동)	식당 마당 모시 식사 부모님 양가 자은동 아시 가보 고민 기념 내일 다른 담뱃집 돌잔치 룸있는 명도 분위기 블로그 생신
107	276	목우언덕	경치 시간 음식점 인근 추천 근처 김해 모시 밀양 생신 어디 어른 정도 조금 창원
108	278	무교동낙지(용원점)	낙지 볶음 교동 동창 모임 무교 수다 어딧 추천
109	282	백우숯불갈비	갈비 숯불 어딧 어딧을까
110	283	산채한정식	번지 맛집 식당 강원 전국 산채 굴비 막국수 보리 일산 한정식 마니산 횟집 구이 닭갈비 위치 정식 반찬 입구 추천
111	284	청아한	맛집 진해 고기 이상 쌈밥 점심 추천 특선 가격 된장찌개 사진 상호 예랑 왕창 음식사진 한정식 데이트 돈까스 등등 목살
112	285	삼도왕족발보쌈	음식점 백년 점포 호점 가게 가능성 가운데 검색 경남 고객 공식 대부분 또한 명맥 벤처기업 별도 본점 분점 사랑 선정
113	290	송원왕갈비	추천 가족 맛집 외식 장소
114	291	수어지	수어 곳도 대게 진해 추천
115	292	숯불한판석동점	경상남도 놀이 리스 방이 상호 음식점
116	293	시루봉가든	추천 진해 맛집 보신 신분 가든 가보 곳도 대해 댁맘 도움 마리 성인 수육 시루 식당 오리 유딩 유아 음식점
117	294	신라아구찜	마을 진해 반찬 수라 아구찜 구축 떡집 모집 문구점 사회 상회 식당 어디 완료 이웃 찜집 추천 가게 각시 강정
118	296	용원꼬리곰탕	체험 리스트 창원 마케팅 맛집 블로그 입장 지역 한눈 홍보 가능 검색 문의 방인 블로거 소통 오늘 전체 증시 찾기
119	300	이가숯불갈비	도움말 복사 영상 광고 소요 이상 자동 재생 코드 트랙 화질 갈비 숯불 진해 가기 계속 공유소스 관련 광고정보 기능
120	302	임진각(진해)	불고기 석쇠 분꼭 사진 살수 아시 언니 임각 임신 제보 혹시
121	307	팔각정	경남 경북 관리 구룡포 독박 발표 신규 영덕 영해 육아 진자 진해 질병 창원 코로나 통영 포항 계속 고민 답사
122	311	토우식육식당	체험 당첨 포스팅 후기 쉬즈 반드시 사항 익선동 학원 방문 블로그 기간 맛집 발표 불가 영어 예약 워드 작성 전화
123	312	함흥면옥	냉면 창원 맛집 추천 냉면집 면도 번가 식당 육수 직접 진주 쫄깃 참고 하연 함안 황포
124	318	진해농협한우정	진해 나루터 농협 사용 우정 테이블 포인트 가능 가족 꼼장어 내일 메뉴 소고기 식당 식사 어버이날 어회 여부 외식 이나
125	319	제일식당	진주 제일식 비빔밥 냉면 거제 모두 빵집 식당 육회 인사 통영 투어 공유 맛집 멤버 수복 엄마 오늘 우리 정보
126	321	육거리곰탕	국밥 곰탕 설렁탕 돼지국밥 국물 한우 나주 부산 마포 식당 맛집 통영 고기 서울 대표 밀양 을지로 그릇 시청 종로
127	322	서울설렁탕(진주)	진주 가시 교향 맛집 면담 서울 설렁탕 시간 식사 업체 오늘 오픈 운영 장님 점심 출장
128	323	원주특수통닭(동성동)	진주 통닭 특수 원주 매물 원룸 맛집 부동산 월세 평거동 추천 사진 영화 밀면 보증금 삼계탕 자주 가족 공인 느낌
129	325	천년의비빔밥	진주 정도 가족 룸식 식당 아버지 장소 추천 포함 한번 환갑잔치
130	326	더하우스갑을	진주 하우스 상견례 식당 부모님 식사 예식 행사 가족 걱정 결혼식 음식점 제일 주인공 추천 코로나 후기 고기 긴장 남자친구
131	327	회초랑	클럽 위원회 자매 교류 일본 회원 교토 회초 방문 위원장 진주 회의 공식 구성 국제 김용희 모임 소개 이미지 진행
132	329	태산만두2	만두 돈까스 방법 비빔 시내 오징어 저번 진주 태산 하나 항상 확인
133	339	두성유통(주)문산휴게소	휴게소 방향 부산 국밥 한식 한식당 음식점 불고기 서산 휴가 된장찌개 메뉴 버섯 서울 소고기 속초 옥천 유통 육개장 지리산
134	343	만리장성	거리 평거 만리장성 상가 임대 아주 주변 평거동 가로 규모 명문 문의 부동산 부포 북적 소장 시비 위치 유갑선 절충
135	346	망경횟집	횟집 포장 진주 망경동 가족 세차장 주말 가능 도움말 맛집 복사 여기 영상 위치 전세 추천 거의 광고 구조 근처
136	351	아리랑한정식	상견례 진주 후기 한정식 음식 저희 아리랑 준비 분위기 가족 결혼 긴장 시간 업체 다이렉트 부모님 사진 서울 진행 가입
137	356	담소원	한정식 다행 담소 둘이서 보고 선택 여기 요한 진주 친구
138	358	소우리	갈비찜 우리 진주 먹엇어 삭제 특정 가요 갈비탕 개인 거나 건가 검색 게시 게시판 관련 광고 규칙 그때 글등 나왓네
139	359	하연옥(하대점)	진주 매물 월세 부동산 만원 보증금 사진 전세 투룸 하대동 공인 원룸 중개사 진주시 금액 동하 번호 상담 소개 정보
140	365	대원철뚝집	원금 오늘 재난 그니 내동면 뚝집 시작 옻닭 원철 찜닭 찰밥
141	367	송화한정식	진주 한정식 송화 상견례 추천 식당 장소 리뷰 식사 음식 돌잔치 동생 맛집 모시 부모님 서울 시부모 조금 주차장 가요
142	368	우가촌	평거동 진주 전월세 촌옆 번길 상가 보하이 타운 가량 국밥 실장 전세 층쓰리룸 포차 소고기 블로그 체험 월세 추천 공간
143	370	삼가한우소리	아시 소리 한우 상봉동 추천 고깃집 곰국 맛집 밥집 보신 상평동 소고기 손님 예전 인분 주문 진주시 가족 가출 개월
144	373	고기달인	고기 냉면 진주 상봉동 달인 모임 걱정 게시판 경우 금산 만두 맛집 먹거리 물냉면 식당 이용 추천 포함 검색 게시
145	374	삼경한우촌	진주 갈비살 그램 문산 소고기 우촌 합천 고기 맛집 인분 가격 강추 거의 고민 국제대 까오 논고 돌판 동무 된장
146	375	뉴욕바닷가재	사람 진주 가입 뉴욕 단순 등업 바닷가재 방법 삭제 생각 아래 양도 이면 인사 통보 홍보 확인
147	376	아낙촌평거점	가게 가용 기도 낙곱새 낙지 드라이브 매콤 산책 시내 아낙 옴총 외식 욤맘 저녁 저하 주말 진주 집앞 커피 핑계
148	378	뚱보화로불고기 칠암점	보화 불고기 갈비 경남 고기 날씨 달콤짭쪼름 매우 사장 식구 오늘 진주 처음 추천 향연
149	386	아라숯불갈비	쓰리룸 이현동 임대 가능 갈비 난방 뒤편 보증금 부동산 숯불 스마트 심야 여중 오거리 전기 전세 즉시
150	387	서울설렁탕(상대동)	상대동 설렁탕 상가 진주시 부동산 서울 임대 거리 경남 교육청 기억 부근 불고기 양호 지하 진주 가족 공인 구형 다른
151	389	개성삼계탕	금산 삼계탕 개성 진주 맛집 건강 생각 이제 가게 까페 나이 당시 매년 몇번 방법 복날 부모님 손님 여름 이사
152	390	원주특수통닭가좌점	경상남도 리스 상호 음식점 진주시 치킨 호프
